ROOM_ID,LENGTH,WIDTH
Keeping Room 14,50,11
Sun Room 13,23,36
Den 2,35,10
Kitchen 4,10,4
Breakfast Area 15,37,35
Wine Cellar 15,1,41
Office 15,22,4
Wine Cellar 8,48,40
Walkway 17,2,40
Hallway 10,11,24
Keeping Room 16,25,43
Storage 3,37,33
Entryway 6,11,11
Guest Bathroom 15,12,33
Loft 18,21,46
Sun Room 15,30,10
Keeping Room 20,29,14
Parlor 10,29,34
Parlor 19,7,6
Powder Room 3,48,27
Garage 9,40,44
Powder Room 10,26,5
Office 2,18,3
Foyer 15,2,19
Hallway 18,10,6
Loft 19,36,49
Nursery 21,14,17
Laundry Room 11,13,2
Storage 19,48,19
Closet 6,11,4
Office 1,37,20
Parlor 16,34,8
Foyer 4,8,29
Powder Room 21,49,29
Kitchen 2,33,19
Nursery 1,31,43
Conservatory 3,3,21
Guest Bedroom 11,36,49
Storage 10,49,2
Hallway,7,40
Parlor 1,39,30
Sun Room 8,39,31
Kitchen 21,22,14
Music Room 2,8,33
Library,39,39
Walkway 18,42,19
Breakfast Area 9,10,50
Walk-in Closet 12,20,39
Music Room 3,42,29
Sun Room 19,48,14
Office 9,20,46
Secret Room 2,42,24
Nook 14,15,43
Basement 2,45,42
Bonus Room 1,17,46
Sun Room 20,20,21
Walk-in Closet 13,10,32
Ballroom 18,31,20
Dining Room 6,21,39
Basement 13,30,11
Bar 18,50,47
Sun Room 6,43,19
Library 17,25,1
Basement 5,28,29
Exercise Room 15,50,43
Guest Bedroom 18,5,32
Guest Bathroom 8,23,12
Loft,9,27
Bonus Room 15,48,4
Nook 17,10,6
Bedroom 18,43,3
Pantry 3,46,5
Spare Room 15,13,1
Kitchen 19,24,30
Guest Bedroom 12,27,25
Walkway 9,5,49
Hallway 12,20,47
Wine Cellar 13,15,34
Library 2,40,45
Keeping Room 10,42,33
Breakfast Area 18,7,9
Keeping Room 13,12,9
Dining Room 9,25,6
Kitchen 7,1,19
Foyer 21,29,32
Closet 11,38,1
Attic 15,15,14
Secret Room 7,35,19
Storage 17,45,16
Office 6,44,1
Study 8,28,47
Living Room,25,29
