ROOM_ID,LENGTH,WIDTH
Den 293,24,46
Parlor 773,9,13
Kitchen 211,32,28
Library 931,7,27
Guest Bathroom 1395,15,31
Breakfast Area 471,9,16
Study 1023,31,43
Kitchen 431,6,49
Keeping Room 200,2,43
Den 1354,33,6
Pantry 109,3,2
Panic Room 958,50,17
Guest Bedroom 455,13,30
Linen Closet 1278,12,21
Guest Bedroom 155,44,7
Nook 480,46,50
Ballroom 513,14,45
Game Room 1059,40,21
Bonus Room 290,12,23
Kitchen 56,49,50
Bonus Room 1332,13,25
Hallway 741,16,49
Spare Room 733,49,49
Garage 697,41,11
Bonus Room 183,16,41
Music Room 127,38,38
Kitchen 137,34,2
Bonus Room 593,20,6
Walk-in Closet 710,40,36
Secret Room 93,8,50
Living Room 1136,29,33
Breakfast Area 1075,41,1
Pantry 850,2,31
Garage 1251,19,39
Panic Room 710,14,46
Spare Room 312,47,41
Closet 181,47,30
Garage 445,27,31
Foyer 1355,4,36
Bar 330,6,44
Nursery 574,48,42
Storage 1300,39,7
Guest Bathroom 55,36,25
Secret Room 1084,20,39
Music Room 1046,7,43
Basement 735,21,11
Theater 743,36,26
Bedroom 941,47,19
Conservatory 1206,10,47
Spare Room 734,21,1
Bathroom 969,39,24
Storage 1016,35,41
Bedroom 1082,6,9
Theater 367,35,9
Den 233,9,32
Walkway 531,5,22
Nook 83,43,39
Study 270,11,18
Keeping Room 616,5,31
Garage 1379,41,40
Nook 860,30,26
Walkway 983,15,46
Wine Cellar 1152,49,28
Walkway 1196,45,4
Walk-in Closet 343,28,8
Exercise Room 691,10,17
Kitchen 1222,39,43
Storage 1092,12,8
Mud Room 968,32,33
Bathroom 224,30,26
Dining Room 489,22,16
Powder Room 1270,23,16
Hallway 538,7,3
Entryway 803,6,37
Wine Cellar 1316,35,6
Game Room 1232,19,17
Walk-in Closet 377,40,15
Exercise Room 344,43,2
Basement 547,43,29
Living Room 1140,26,27
Kitchen 1209,35,10
Bathroom 737,44,40
Study 369,35,34
Office 232,10,48
Nursery 727,13,37
Utility Room 348,48,15
Library 66,33,47
Nursery 238,47,47
Guest Bathroom 17,3,13
Pantry 512,11,31
Kitchen 1087,14,12
Nursery 442,22,11
Entryway 126,43,26
Study 1186,45,21
Wine Cellar 530,9,50
Den 760,13,29
Walk-in Closet 145,45,16
Entryway 749,35,17
Utility Room 975,45,3
Sun Room 743,15,34
Exercise Room 530,7,37
Loft 782,40,34
Dining Room 1059,29,9
Garage 915,17,21
Game Room 1078,5,39
Kitchen 1030,43,2
Breakfast Area 1239,34,1
Ballroom 1255,17,18
Music Room 36,7,20
Garage 744,49,30
Music Room 957,21,35
Closet 736,20,5
Exercise Room 1234,17,8
Game Room 1344,34,7
Wine Cellar 1104,28,23
Garage 320,46,12
Spare Room 1425,10,15
Study 141,33,32
Entryway 594,27,18
Bar 1291,9,46
Bonus Room 844,21,34
Nook 101,45,43
Office 397,4,47
Library 1042,4,42
Walkway 187,17,26
Keeping Room 306,6,4
Foyer 1412,15,11
Conservatory 1241,7,36
Secret Room 141,47,42
Den 34,40,46
Exercise Room 888,42,2
Living Room 1040,38,49
Library 707,45,48
Linen Closet 42,15,36
Laundry Room 165,34,19
Nook 1424,46,48
Panic Room 1075,33,16
Nook 461,4,31
Study 111,39,5
Dining Room 1288,10,38
Living Room 825,48,49
Conservatory 329,26,1
Secret Room 1424,7,14
Bedroom 1322,39,7
Foyer 338,6,31
Ballroom 429,32,10
Breakfast Area 265,27,15
Exercise Room 856,21,31
Nook 1130,33,8
Storage 938,15,50
Bedroom 22,32,31
Walkway 998,28,50
Bar 240,28,13
Nursery 1293,30,29
Attic 996,37,5
Conservatory 786,26,22
Parlor 285,32,9
Entryway 583,15,17
Foyer 552,32,30
Sun Room 194,49,41
Game Room 315,18,23
Guest Bathroom 799,16,30
Walk-in Closet 686,37,11
Ballroom 167,22,25
Garage 24,30,22
